Jurisdiction,Week,1st Dose
Connecticut,05/10/2021,6400
Maine,05/10/2021,2500
Massachusetts,05/10/2021,12300
New Hampshire,05/10/2021,2500
Rhode Island,05/10/2021,2000
Vermont,05/10/2021,1200
New Jersey,05/10/2021,15600
New York,05/10/2021,19800
Delaware,05/10/2021,1700
Maryland,05/10/2021,10500
Pennsylvania,05/10/2021,20000
Virginia,05/10/2021,14800
West Virginia,05/10/2021,3300
Alabama,05/10/2021,8500
Florida,05/10/2021,37000
Georgia,05/10/2021,17600
Kentucky,05/10/2021,7800
Mississippi,05/10/2021,5100
North Carolina,05/10/2021,17700
South Carolina,05/10/2021,8700
Tennessee,05/10/2021,11600
Illinois,05/10/2021,17600
Indiana,05/10/2021,11400
Michigan,05/10/2021,17500
Minnesota,05/10/2021,9600
Ohio,05/10/2021,20300
Wisconsin,05/10/2021,10200
Arkansas,05/10/2021,5200
Louisiana,05/10/2021,8000
New Mexico,05/10/2021,3600
Oklahoma,05/10/2021,6700
Texas,05/10/2021,46300
Iowa,05/10/2021,5500
Kansas,05/10/2021,5000
Missouri,05/10/2021,10600
Nebraska,05/10/2021,3300
Colorado,05/10/2021,9700
Montana,05/10/2021,1900
North Dakota,05/10/2021,1400
South Dakota,05/10/2021,1500
Utah,05/10/2021,4900
Wyoming,05/10/2021,1000
Arizona,05/10/2021,12000
California,05/10/2021,67600
Hawaii,05/10/2021,2600
Nevada,05/10/2021,5100
Alaska,05/10/2021,1900
Idaho,05/10/2021,2900
Oregon,05/10/2021,7300
Washington,05/10/2021,12900
