Jurisdiction,Week,1st Dose,2nd Dose
Connecticut,05/10/2021,41300,41300
Maine,05/10/2021,15800,15800
Massachusetts,05/10/2021,79500,79500
New Hampshire,05/10/2021,15900,15900
Rhode Island,05/10/2021,12400,12400
Vermont,05/10/2021,7500,7500
New Jersey,05/10/2021,100700,100700
New York,05/10/2021,128200,128200
Delaware,05/10/2021,11000,11000
Maryland,05/10/2021,68000,68000
Pennsylvania,05/10/2021,129500,129500
Virginia,05/10/2021,95400,95400
West Virginia,05/10/2021,21300,21300
Alabama,05/10/2021,54900,54900
Florida,05/10/2021,239700,239700
Georgia,05/10/2021,113600,113600
Kentucky,05/10/2021,50000,50000
Mississippi,05/10/2021,33200,33200
North Carolina,05/10/2021,114600,114600
South Carolina,05/10/2021,56300,56300
Tennessee,05/10/2021,75100,75100
Illinois,05/10/2021,113800,113800
Indiana,05/10/2021,73800,73800
Michigan,05/10/2021,113100,113100
Minnesota,05/10/2021,62000,62000
Ohio,05/10/2021,131500,131500
Wisconsin,05/10/2021,65900,65900
Arkansas,05/10/2021,33400,33400
Louisiana,05/10/2021,51900,51900
New Mexico,05/10/2021,23700,23700
Oklahoma,05/10/2021,43200,43200
Texas,05/10/2021,300000,300000
Iowa,05/10/2021,35100,35100
Kansas,05/10/2021,32000,32000
Missouri,05/10/2021,68600,68600
Nebraska,05/10/2021,21200,21200
Colorado,05/10/2021,62300,62300
Montana,05/10/2021,12000,12000
North Dakota,05/10/2021,8700,8700
South Dakota,05/10/2021,9600,9600
Utah,05/10/2021,31200,31200
Wyoming,05/10/2021,6600,6600
Arizona,05/10/2021,77900,77900
California,05/10/2021,438100,438100
Hawaii,05/10/2021,16300,16300
Nevada,05/10/2021,32900,32900
Alaska,05/10/2021,12100,12100
Idaho,05/10/2021,18200,18200
Oregon,05/10/2021,47100,47100
Washington,05/10/2021,83600,83600
