state,cases,deaths,confirmed_cases
Alabama,540603,11043,415726
Alaska,69088,351,0
Arizona,874065,17480,
Arkansas,339162,5805,265148
California,3770763,62713,3745850
Colorado,535536,6597,
Connecticut,345720,8198,
Delaware,107175,1651,
Florida,2296777,36226,0
Georgia,1092264,19886,867269
Hawaii,34247,489,
Idaho,190357,2071,152415
Illinois,1372582,24830,1237792
Indiana,739811,13507,736480
Iowa,369638,6013,304868
Kansas,314136,5079,
Kentucky,455511,6833,
Louisiana,466440,10500,395153
Maine,66113,805,48535
Maryland,456619,8945,456428
Massachusetts,702338,17772,681950
Michigan,979506,19886,877978
Minnesota,595625,7403,553222
Mississippi,315634,7268,193383
Missouri,609667,9503,539236
Montana,110965,1602,110965
Nebraska,222612,2364,44967
Nevada,321368,5540,321368
New Hampshire,97774,1333,0
New Jersey,1011752,25998,883825
New Mexico,201186,4118,201186
New York,2086577,52480,2071700
North Carolina,999986,12934,855982
North Dakota,109265,1534,100493
Ohio,1092616,19628,
Oklahoma,451278,6878,0
Oregon,196004,2616,0
Pennsylvania,1193608,26927,
Rhode Island,150737,2703,0
South Carolina,589098,9656,489164
South Dakota,123784,1994,108563
Tennessee,844110,12240,693523
Texas,2934497,51180,2533327
Utah,403058,2271,0
Vermont,23945,254,0
Virginia,670854,11042,
Washington,425382,5682,389429
West Virginia,158888,2763,124379
Wisconsin,670575,7726,606756
Wyoming,59222,712,49951
