Entity,Code,Day,total_vaccinations,population
Alabama,AL,2021-05-09,2768204,4903185
Alaska,AK,2021-05-09,571368,731545
Arizona,AZ,2021-05-09,5372605,7278717
Arkansas,AR,2021-05-09,1900002,3017804
California,CA,2021-05-09,33109680,39512223
Colorado,CO,2021-05-09,4880920,5758736
Connecticut,CT,2021-05-09,3512139,3565287
Delaware,DE,2021-05-09,825352,973764
Florida,FL,2021-05-09,16431037,21477737
Georgia,GEO,2021-05-09,6799470,10617423
Hawaii,HI,2021-05-09,1386097,1415872
Idaho,ID,2021-05-09,1132383,1787065
Illinois,IL,2021-05-09,10146731,12671821
Indiana,ID,2021-05-09,4506166,6732219
Iowa,IA,2021-05-09,2564630,3155070
Kansas,KS,2021-05-09,2146247,2913314
Kentucky,KY,2021-05-09,3309482,4467673
Louisiana,LA,2021-05-09,2861659,4648794
Maine,ME,2021-05-09,1276858,1344212
Maryland,MD,2021-05-09,5221259,6045680
Massachusetts,MA,2021-05-09,6858691,6892503
Michigan,MI,2021-05-09,7688179,9986857
Minnesota,MN,2021-05-09,4721950,5639632
Mississippi,MS,2021-05-09,1655785,2976149
Missouri,MO,2021-05-09,4243742,6137428
Montana,MT,2021-05-09,799489,1068778
Nebraska,NB,2021-05-09,1536579,1934408
Nevada,NE,2021-05-09,2209675,3080156
New Hampshire,NH,2021-05-09,1148596,1359711
New Jersey,NJ,2021-05-09,7934175,8882190
New Mexico,NM,2021-05-09,1927317,2096829
New York,NY,2021-05-09,17034051,19453561
North Carolina,NC,2021-05-09,7498381,10488084
North Dakota,ND,2021-05-09,581749,762062
Ohio,OH,2021-05-09,8930170,11689100
Oklahoma,OK,2021-05-09,2786611,3956971
Oregon,OR,2021-05-09,3395077,4217737
Pennsylvania,PA,2021-05-09,10952811,12801989
Rhode Island,RI,2021-05-09,988104,1059361
South Carolina,SC,2021-05-09,3439210,5148714
South Dakota,SD,2021-05-09,731988,884659
Tennessee,TN,2021-05-09,4346845,6829174
Texas,TX,2021-05-09,20215285,28995881
Vermont,VT,2021-05-09,632395,623989
Utah,UT,2021-05-09,2263595,3205958
Virginia,VA,2021-05-09,7233201,
Washington,WA,2021-05-09,6367124,7614893
West Virginia,WV,2021-05-09,1216002,1792147
Wisconsin,WI,2021-05-09,4961248,5822434
Wyoming,WY,2021-05-09,369975,490875
